item_id,lstg_status_id,item_site_id,auct_titl,leaf_categ_id,item_condition_overall,item_condition_specific
297837669412,0,100,"Mobile Marketing Stage Trailer, Product Display Trailer",66470,New,New with box/tags
257215502090,0,0,Radial Engineering ProDI 1-Channel Passive Instrument Direct Box Pro-DI Mono DI,23791,New,New with box/tags
257045561388,0,0,Matchbox Lot of 7 VW Beetle 4X4 Blue Green Orange Yellow Gulf Off Road,180506,New,New with box/tags
296803538623,0,0,TPA3255 Board 600W 300W Dual Sound Channel Modes V1Z2,163768,New,New with box/tags
357708391937,0,0,Watercolor Style Giraffe Head Portrait Poster 18x24in,28009,Not specified,Unknown
365880227473,0,0,Apple Headphones Max- Pro Air Headset Space Gray (Black),80077,New,New with box/tags
255408057253,0,0,"O) PERU, PRESTAMP, AREQUIPA HANDSTAMP CANCELLATION IN RED",170137,Not specified,
127335512947,0,0,5 Gallons apx 20lb Fresh Organic Rabbit Manure. Plant Food. Fertilizer.,119683,New,New with box/tags
167794665211,0,0,Jay-Z - Magna Carta... Holy Grail CD NEW SEALED,176984,New,New with box/tags
126772405618,0,0,GG6: Pitney Bowes P/n N582000 USPS/UPS Chip - FAST SHIPPING,92078,Used,Used
366030251470,0,100,2012 Harley-Davidson Softail Softail® Deluxe,49994,Used,Used
205925224169,0,100,"2002 Chevrolet EXT LT NO ACCIDENTS LOW MILES 69,572",34430,Used,Used
155823272384,0,0,Giron Hunting Hounds Horse Riding 1924 Illustration Wall Art Print Framed 12x16,28009,New,New with box/tags
276914319474,0,0,Electrolux 304433609 Refrigerator Dispenser Control Board 1B41B1483,184666,New,New without box/tags
254575706162,0,0,Stroh's Beer Vintage Logo Luggage Tags - Strohs Repurposed Playing Cards Set (3),164800,Used,Used
185180129407,0,0,Vintage 14K White Gold 0.26ctw Old Cut Diamond Solitaire Petite Engagement Ring,262014,Used,Used
146823798101,0,0,"Lot of 18 North Star Teacher Adhesive Desk Name Plates 17 1/4"" x 4"" - BRAND NEW",102955,New,New without box/tags
356583646378,0,0,"Baby Play Arch Crib Toys, Activity Arch Toy, Crib Mobile for Pack and Play",100227,New
236001064800,0,0,Reggae Riseup Florida GA Tickets For Friday,173634,Not specified,Unknown
389150503142,0,0,Attack on Titan Eren mug,2312,Not specified,Unknown
185264500114,0,0,US MADE RG-58 BNC Male to BNC Male Coaxial Cable 50 Ohms lot,48704,New,New with box/tags
284595869275,0,0,"CROSSWALKS Moose Crossing 12"" X 12"" Aluminum Sign (X281)",31587,New,New with box/tags
267480642630,0,0,SONGS FOR JERUSALEM - Chants Mystiques MATTHEW LAZER CD,176984,Used,Very good
354207357423,0,0,1992 Topps #494 Gary Thurman - NM,261328,Used,Very good
227128078229,0,0,Land For Sale Arkansas MAIN ROAD AMAZING LOT Bid for Down Payment & $49 Monthly,15841,Not specified,Unknown
226767591577,0,0,THIRTYONE Thirty One Gifts Large Packing Cube NWT Medallion Medley Pattern,93839,New,New with box/tags
256185951657,0,0,"30pcs Perrier bottles, $0.5*30=$15",179251,New,New with box/tags
126519362244,0,0,New Remote Control For Soleus Air SG-PAC-08E4 SG-PAC-08E3 Room Air Conditioner,61312,New,New with box/tags
397327624863,0,0,Austria #32a Used brown violet,47160,Not specified,Unknown
317113790243,0,0,"HP Chromebook 11 G5 EE 4GB 16GB Intel Celeron 11.6""",177,Used,Used
336019211841,0,0,4 Piece Small Urns for Human Ashes Mini Cremation Urns Memorial Keepsake Urns Mi,88742,New,New with box/tags
147038232143,0,0,Ubisoft Rocksmith 2014 Edition Remastered PS4 +6 Bonus Songs New Update,139973,Unknown,Like new
317579445403,0,0,NWT Alex Evenings Sz14 Off Shoulder Lace Grey NEW Full Length Dress Formal Gown,63861,New,New with box/tags
364524918715,0,0,Vintage Cellini 925 Sterling Silver Austrian Crystal Flower Cross Pendant,261993,New,New with box/tags
306596223944,0,0,4 Pcs Hairdressing Comb Barber Combs Professional Household Detangling,11855,New,New with box/tags
344548503674,0,0,"Turbulence in World Politics - A Theory of Change and Continuity by James N. Rosenau (1990, Paperback) : James N. Rosenau (1990)",100847,New,Unknown
395363653891,0,0,Berkshire Hathaway Meeting Guest Pass (10% Goes To The Skin Cancer Foundation!),1306,Not specified,Unknown
383992811836,0,0,MARCUS BROTHERS Fabric 100% Cotton YARDAGE AMERICA Cream Stars on Burgundy,28162,New,New with box/tags
227130004232,0,100,2020 Mercedes-Benz GLE350 GLE 350 4MATIC AWD 4dr SUV,6315,Used,Used
177436887773,0,0,Vertigo Complete Movie Script W/ Reproduction Signatures,163893,Not specified,Unknown
256630215634,0,100,20” AG M570r MACHINE SILVER WHEELS FOR BMW G60 530 540 I5 20X9 & 10.5,179679,New,New with box/tags
326899291797,0,100,2025 7X14 Cargo / Enclosed Trailer ALUMINUM WHEELS & SCREWLESS .080 EXTERIOR,80770,New,New with box/tags
256314586975,0,0,Funko Pop! Marvel Guardians of the Galaxy Vol. 3 - Cosmo Vinyl Figure,149372,New,New with box/tags
204656994234,0,0,A. Michelsen - 1972 Gilded Christmas Spoon - Herald,20104,Not specified,Unknown
356722367374,0,0,Vintage Danecraft Sterling Silver Circular Pin,262004,Used,Used
355886213888,0,0,Star Wars Topps Chrome Black Aura Sing #87 Red Parallel 2/5,183050,Used,Very good
336290350752,0,0,old Drawer Drawer drawer Slide-in Box Wall shelf Regal Planter,63589,Used,Used
226084306615,0,0,"Set Of 2 Monster High G3 Clawdeen Wolf Studio Barrettes, Brush Only Mattel 2022",262346,Used,Used
360834564569,0,0,Quality Hand Painted Oil Painting Nude Young Lady Reading 20x24in,551,Not specified,Unknown
297087110171,0,0,Ithaca 51 Forend Retainer Nut & Washer 12 Ga.,73954,Used,Used
177671874120,0,0,Vervet Jeans Womens 27 Constance Mid Rise Distressed Ankle Denim Rip Leg,11554,Used,Used
166082399682,0,0,Samsung PM983 3.84T U2 PCIE NVME SSD Solid State Drive Enterprise Server,65489,New,New with box/tags
134128934120,0,0,1956 Topps Football #83 Bill McColl VG,261328,Not specified,Unknown
185824012782,0,0,Spaghetti Western Gunfighters Collection,617,Used,Very good
276529910861,0,0,1968 Veil Prophet Ball Invitation tickets for 2 with pamphlet unused L-A,1306,Not specified,Unknown
358021911900,0,0,Hard to Find 100G .999 Fine Silver Locker Mint 4 Horseman Pestilence Antique Bar,39489,Not specified,Unknown
156022003399,0,0,ACOPIAN W15LT3000E SWITCHING REGULATED POWER SUPPLY 4A,181922,Used,Used
147030191411,0,100,2010 Harley-Davidson FLHX Street Glide,6707,Used,Used
