item_id,lstg_status_id,item_site_id,auct_titl,leaf_categ_id,item_condition_overall,item_condition_specific
236236322462,0,100,For 2006 HUMMER H3 Fog Light Assembly Pair Driver and Passenger Side,33709,New,New with box/tags
226477855553,0,3,"BULK 3000pcs 6mm x 0.7mm (22 Gauge), Copper Plated Jumprings",83891,New,New with box/tags
157512195864,0,0,"York a cathedral city in North Yorkshire, England patch",113337,Used,Used
146073943357,0,3,GB 2013 QE2 1st Security Machin MTIL book Stamp SG U3025 ( E149 ),70090,Not specified,Unknown
297135951368,0,77,Pokemon 087/131 - Shaymin - Reverse Holo - Prismatische Entwicklungen,183454,Used,Very good
167852785825,0,3,"Quartz . 327.2 cts. Massif des Grandes Rousses , France",3220,New,New with box/tags
136793637138,0,100,Used Ignition Switch fits: 2022 Kia Seltos keyless ignition Smart Key Grade A,46101,Used,Used
155166828157,0,77,BLUE PRINT Bremsbeläge Vorne für MAZDA MX-5 I II,57357,New,New with box/tags
124564847040,0,77,Wartungs Set BMW F 800 ST Inspektion Zündkerze Öl Service,43977,New,New with box/tags
389195833997,0,77,Elements of Modern Physics S. H. Patil,1105,New,New with box/tags
254766263337,0,100,"Genuine Nissan BUMPER, HOOD 65829-AA400 x2 F/S",179677,New,New with box/tags
406003469182,0,100,Genuine ACDelco Automatic Transmission Oil level Check Plug 24267298,33727,New,New with box/tags
406355036869,0,3,Winning Boxing Gloves 8 oz Lace-Up CO-MS-200 Silver × Gold Professional Genuine,30102,New,New with box/tags
397249101934,0,0,"Lot of 4 Charging Dock Units - Used, Working, Various Models",42146,Used,
167863666310,0,3,Death Be Not Proud - The Art of Holy Attention by David Marno [Hardback],1105,New,New with box/tags
177673463177,0,77,I'm in Love with the Villainess 3 | Inori. | Taschenbuch | 180 S. | Deutsch,261186,New,New with box/tags
134344756722,0,3,"Smile! It's meant to be fun (Sadie Rocks),Karen McCombie",261186,Used,Good
366062986344,0,77,"COS, Kleid, Größe: 34, Beige, Baumwolle/Cupro",63861,Used,
389381502508,0,3,20 Pcs Shelf Pins Kitchen Support Pegs Coupling Dowel Stainless Steel,3199,New,New with box/tags
136744534900,0,77,LENKER RADAUFHÄNGUNG 302 470 FÜR FORD EYPC/EYPA/EYPD 1.8L RWPA/RWPB/RWPD 1.8L,33580,New,New with box/tags
127504030236,0,3,Air Kit Compatible for 2009-2012 Max 800R Max8671,33659,New,New with box/tags
286917337010,0,100,Fuel Water Separator Filter Wix WF10417,33660,New,New with box/tags
231105779820,0,77,Absperrpfosten 76 mm Durchmesser umlegbar mit Profilzylinder und Bodenplatte,183894,New,New with box/tags
167322491235,0,77,Neuwertige Motorradjacke aus Leder v. Mastrotech (Dainese) für Damen mit 36,177117,Used,Used
177185773336,0,77,OPEL MOKKA Kolben 1.70 Diesel 2014 30451825,33623,Used,Used
