item_id,lstg_status_id,item_site_id,auct_titl,leaf_categ_id,item_condition_overall,item_condition_specific
286762398907,1,0,Vintage Monkey Pod Wood Leaf Serving Tray 2 Sections hand crafted.,35801,Used,Used
406145950219,1,0,"Ticonderoga Wood-Cased Pencils, Unsharpened, 2 HB Soft, Yellow, 24 Count",,2,New with box/tags
186915319190,1,0,Boulder Ball Replacement Toy Part Tonka Chuck Handy's Hangtime Bridge Playset,171137,Used,Used
226558272712,1,0,Vintage Bowling Trophy Cup Meriden B. Company Rogers Bros 9099,159100,Not specified,Unknown
183788691174,0,0,FRANKENSTEIN 1931 REPLICA MOVIE POSTER,25471,New,New with box/tags
372924311790,0,0,Vintage 1975 Exxon Florida State Highway Travel Road Map-Box 9,839,Used,Used
187569236222,1,0,Vtg Inarco Nursery Planter ABCD Block Floral Baby Pink Ceramic #SE-10632 Japan,98473,Used,Used
388599566283,1,0,BLACKHAWK CLASSIC COUNTRY LIVE IN CONCERT PHOTO SET 5 4x6 Original Photos #5,108740,Not specified,Unknown
116503037834,0,0,SAO TOME_045 2003 USA president SHEET MNH,179366,Not specified,Unknown
116425440514,0,0,Battle Ready T10 Steel Chinese Saber Sharp Tang Dynasty Cavalry Sword 唐横刀 Dao,88922,New,New with box/tags
127464685153,1,0,Science for Here & Now Herman Nina Schneider & Learning Together Macmillan Books,4036,Used,Used
187474333575,1,0,Dust Plug for PS 5 Slim Console Dust Protector Dust Cover LAN Type-C USB Port,179406,New,New with box/tags
356611108271,1,0,4 Pcs Budgie Bird Cages for Simulation Straw Bird's Nest Ventilation Storage,75579,New,New with box/tags
226772292020,1,0,Belarus 20 Kopeek 2009 K565 First Post-USSR Issue. Released 2016 Minted Slovakia,162180,Not specified,Unknown
375966217071,1,0,New GECKOBRANDS Floating /Polarized Sunglasses Plus Case Cleaning Cloth!,261509,New,New without box/tags
126631035155,1,0,Vintage Yellow Swirl Poker Chip Caddy Rack Holder,73486,Used,Used
396165784742,1,0,Chinese Mountain Village Painting Japanese Scenic Canvas Art Framed Wall Decor,75575,New,New with box/tags
176984250852,1,0,Full Body ScubaMax 3mm Tropical 3 JR SIZE 10 Scuba Wetsuit,47355,Used,Used
196173899913,0,0,VPS Server CentOS Linux - 4GB RAM - 100 GB Storage - 1 Month,47106,Not specified,Unknown
205254234218,1,0,"TOY: Cartoon DOG ON WHEELS Hard Plastic, you can turn wheels, 3.75x2.5x3.5, VTG",165286,1
256605032786,1,0,FT-243 Radio Crystal - .093 Pins - 7800 KHz - Cecor - Channel 355,175738,Used,Used
226675657528,1,0,"5-Vintage Pipe WrenchS USA-(1) JAPAN-URREA 36""-STILLSON (2) RIDGID-FULLER",184050,Used,Used
388379938638,1,0,162 - British Guiana 1949-1951 perf 14x13 to $2 fine used,80113,Not specified,Unknown
196991319542,1,0,X Ray Protector Collar Lead Thyroid Collar CT Radiation Shield w/Neck Cover US,257843,New,New with box/tags
397298105268,1,0,Rustic Landscape Oil Painting Canvas Print Vintage Country Home Decor Wall Art,75575,New,New with box/tags
166305238537,0,0,Houston Texans Gameday November 23 2014 Vs Cincinnati Bengals Chris Myers BB13,73405,Not specified,Unknown
276891953472,1,0,2 Pcs Drain Catcher Sink Protectors for Kitchen Water Trough,71280,New,New with box/tags
375537850944,0,0,1pcs Peltier 288W Thermoelectric Blue & Silver Cooler J7J27365-,182022,New,New with box/tags
376159271552,1,0,1953 Barbados Stamp Set of 13; #'s 235-247; MNH; Complete Set,73188,Not specified,Unknown
236263028577,1,0,"4 Vintage Olive Wooly Bugger Flies With Orvis Box, Fly Fishing",11142,Not specified,Unknown
384450873411,0,0,1 pcs Sticker for BMW Skylake Silver Chrome Color Logo Decal Badge 30mm x 30mm,176980,New,New with box/tags
326846675055,0,0,"Vintage Coffin Casket PLATE PLAQUE ""MOTHER""",179691,New,New with box/tags
286244214538,1,0,My Dog Piggy Bank,158417,New,New with box/tags
167539427119,1,0,Vtg Auth Womens German Leather Lederhosen Small EXELLENT,80968,Used,Used
146989041075,0,0,Gourmia 8” Crepe Maker – Nonstick Ceramic Electric Griddle for Grey / Black,57086,New,New with box/tags
136730340644,1,0,"HIGH SPEED 3"" AIR CUT OFF SAW AUTOMOTIVE METAL CUTOFF TOOL NEW 10 Pk Wheels",75675,New,New with box/tags
395627834312,1,0,"Leaf Elephant Ceramic Incense Holder Small Clay Incense Holder Leaf Elephant, Sm",10883,New,New with box/tags
297661304320,1,0,"VINTAGE 40"" X 50"" HOOKED RUG WESTERN THEME",157034,Used,Used
156713640574,1,0,Charming cloth vintage knife holder,261746,Used,Used
357558968890,0,0,1 Case of 12 Pony 2 X 1 In C-Clamp-232,258392,New,New with box/tags
126871893039,1,0,COLOR 1915 GLOBE WERNICKE® SECTIONAL BOOKCASE RARE PRICE LIST! NOW LOWER PRICED,261257,New,New with box/tags
376477663999,1,0,Color watch fashion print watch,163995,Not specified,Unknown
205443016923,1,0,Coca-Cola Sterling Silver 925 Coke Bottle Pin Fire Opal Employee Service Award,13607,Not specified,Unknown
116448663511,0,0,RIPLEY’S BELIEVE IT OR NOT INK BLOTTER-COLUMBUS NEVER SET FOOT ON AMERICA,4089,Used,Used
397060681583,0,0,Vintage MCM Waring Blender With Yellow Base & Glass Jar,261706,Used,Used
405902289484,0,0,Soladi Rhythm 2 Sonic Toothbrush + Replacement Brushes (4 pieces) New,159757,New,New with box/tags
306241152083,1,0,"Antique 1890's •The ADAMS & WESTLAKE Co ADLAKE SPECIAL CAMERA PRINT AD• 4x5.5""",37829,Used,Used
306319865354,1,0,Stainless Steel Scissor Stand Platform Table Lifter Work Jack Furniture,185202,New,New with box/tags
134916415692,0,0,White Memphis Grizzlies Logo Graphic Basketball NBA Safety Construction Hard Hat,158968,New,New without box/tags
404396479464,0,0,Vintage Naaman Commemorative Plate ~ Peace of Jerusalem ~ Shemuel Katz 1979,35829,Used,Used
146894052064,0,0,Coca Cola Vintage Canister Or Cookie Jar With Checkered Diner Pattern,35687,Used,Used
157284596356,1,0,DISNEYLAND / DISNEY MINNIE MOUSE NURSE TRADING PIN,38012,New,New with box/tags
256934688080,0,0,HC-6/U - 2537.5 KHz Radio Crystal - .050 Pins - AFD - CR-27/U,175738,Used,Used
