LEAF_CATEG_ID,LEAF_CATEG_NAME
9355,Cell Phones & Accessories:Cell Phones & Smartphones
6539,ecom Motors:Cars:Chevrolet:Caprice
7041,ecom Motors:Sports Cars:BMW:Z-Series
6428,ecom Motors:Cars & Trucks:Porsche:356
6623,ecom Motors:Cars:Honda:CRX
157051,ecom Motors:Cars & Trucks:GMC:Canyon
31965,ecom Motors:Trucks:International Harvester
157044,ecom Motors:Cars & Trucks:Ferrari:355
166657,ecom Motors:Cars & Trucks:Volvo:XC60
6170,ecom Motors:Cars & Trucks:Chevrolet:Malibu
170143,ecom Motors:Cars & Trucks:Ferrari:612
7236,ecom Motors:Luxury Cars:Lincoln:Other
162307,ecom Motors:Cars & Trucks:Mercedes-Benz:GL-Class
6187,ecom Motors:Cars & Trucks:Datsun:Z-Series
6120,ecom Motors:Luxury Cars:Bentley
6232,ecom Motors:Cars & Trucks:Ford:Falcon
6858,ecom Motors:Cars:Porsche:924
80745,ecom Motors:Cars & Trucks:Hyundai:Elantra
162301,ecom Motors:Cars & Trucks:Kia:Optima
6658,ecom Motors:Cars:Studebaker
157041,ecom Motors:Cars & Trucks:Ferrari:328
6667,ecom Motors:Cars:Other Makes
6399,ecom Motors:Cars & Trucks:Nissan:Altima
6244,ecom Motors:Cars & Trucks:GMC:Sierra 1500
6375,ecom Motors:Passenger Vehicles:Peugeot
6940,ecom Motors:SUVs:Jeep:Cherokee
80900,ecom Motors:Cars:Hyundai:Santa Fe
7037,ecom Motors:Sports Cars:Austin Healey
179900,ecom Motors:Cars & Trucks:Mercury:Topaz
43928,ecom Motors:Sports Cars:Cadillac:CTS
6680,ecom Motors:Cars:Other Makes
6415,ecom Motors:Cars & Trucks:Plymouth:Satellite
175887,ecom Motors:Cars & Trucks:Fiat:500
36468,ecom Motors:Cars & Trucks:BMW:Z3
162294,ecom Motors:Cars & Trucks:BMW:X6
6417,ecom Motors:Cars & Trucks:Pontiac:Bonneville
6362,ecom Motors:Cars:Acura:NSX
179902,ecom Motors:Cars & Trucks:Mitsubishi:Precis
6556,ecom Motors:Cars:Eagle
6363,ecom Motors:Cars:Acura:Vigor
7247,ecom Motors:Passenger Vehicles:Other Makes N-Z:All Models
10135,ecom Motors:Sports Cars:Mercedes-Benz:Other
6888,ecom Motors:MiniVans & Vans:Dodge:Grand Caravan
6605,ecom Motors:Cars:Ferrari
