LEAF_CATEG_ID,LEAF_CATEG_NAME
19076,"Toys & Hobbies:Electronic, Battery & Wind-Up:Wind-Up, Walking Toys:Pre-1970"
145967,"Toys & Hobbies:Models, Kits:Automotive:Vintage:Dodge"
50523,Cameras & Photo:Digital Camera Accessories:Memory Cards:Secure Digital:64MB & Less
178155,Everything Else:Test Category For Internal Use Only Parent Level 2:ecom Test Only:Group 3:Category 16
119401,"Toys & Hobbies:Robots, Monsters, Space Toys:Robots:Modern (1970-Now):Roboraptor"
16375,ecom Premier:Dolls & Toys:Dolls & Bears:Skinner
2132,Great Collections:Fine Arts:Sculpture:Dealers
31103,Toys & Hobbies:Model Railroads & Trains:N Scale:Parts & Accessories:Signals
36573,Toys & Hobbies:Action Figures:Sports:Other Brands:Wrestling:Hulk Hogan
46292,Pet Supplies:Bird Supplies:Incubators
81063,Toys & Hobbies:Model Railroads & Trains:TT Scale:Starter Sets & Packs
21515,ecom Premier:Special Sales:Tickets & Experiences:Dealer Networks
63661,"Toys & Hobbies:Models, Kits:Air:Hasegawa"
1633,Toys & Hobbies:Beanbag Plush:Ty:Pillow Pals
4520,"Great Collections:Coins, Stamps, Cards:Currency:Dealer Networks"
4417,Great Collections:Books & Manuscripts:Books: History:Dealer Networks
147882,Toys & Hobbies:Action Figures:Marvel Legends:Series 3
178115,Everything Else:Test Category For Internal Use Only Parent Level 2:ecom Test Only:Group 2:Category 2
46258,Home & Garden:Bedding:Sheets:Sheet Sets:Queen Sheet Sets:Cotton
2143,ecom Premier:Jewelry & Timepieces:Jewelry:Dealer Networks
16466,"Toys & Hobbies:Action Figures:TV, Movie & Video Games:Kiss"
147875,"Toys & Hobbies:TV, Movie, Character Toys:Muppets, Sesame Street:Elmo:Backpacks, Bags"
16439,ecom Premier:Wine:Napa Valley:Icollector
14165,ecom Premier:Fine Arts:Painting: American:Urbanmining
7153,ecom Premier:Fine Arts:Prints:Great Gatsby's
11912,ecom Premier:Fine Arts:Latin American Art:Butterfields
